,KNN Train,KNN Test ,Number of Attributes,Number of Rows,,
ChlorineConcentration,67.237%,68.516%,,,,Wavelet transforms are resolution 3
Mirroring,66.809%,69.037%,,,,
Haar Wavelet,66.809%,66.016%,,,,
Daubechies Wavelet,62.527%,61.875%,,,,
CinC_ECG_torso,82.500%,90.073%,,,,
Mirroring,82.500%,90.290%,,,,
Haar Wavelet,67.500%,89.928%,,,,
Daubechies Wavelet,82.500%,90.362%,,,,
Cricket_X,59.487%,56.410%,,,,
Mirroring,58.205%,56.641%,,,,
Haar Wavelet,57.949%,60.256%,,,,
Daubechies Wavelet,66.154%,65.641%,,,,
Cricket_Y,61.026%,64.872%,,,,
Mirroring,62.051%,63.590%,,,,
Haar Wavelet,53.333%,60.000%,,,,
Daubechies Wavelet,66.154%,69.487%,,,,
Cricket_Z,59.231%,59.487%,,,,
Mirroring,58.974%,60.256%,,,,
Haar Wavelet,56.923%,60.000%,,,,
Daubechies Wavelet,66.410%,65.897%,,,,
DiatomSizeReduction,93.750%,93.464%,,,,
Mirroring,93.750%,92.811%,,,,
Haar Wavelet,93.750%,94.771%,,,,
Daubechies Wavelet,93.750%,93.137%,,,,
ECGFiveDays,82.609%,80.604%,,,,
Mirroring,82.609%,81.185%,,,,
Haar Wavelet,91.304%,90.592%,,,,
Daubechies Wavelet,82.609%,81.882%,,,,
FacesUCR,72.500%,75.024%,,,,
Mirroring,70.000%,70.976%,,,,
Haar Wavelet,85.500%,85.073%,,,,
Daubechies Wavelet,81.500%,80.781%,,,,
Haptics,43.226%,37.987%,,,,
Mirroring,41.936%,38.312%,,,,
Haar Wavelet,38.710%,37.013%,,,,
Daubechies Wavelet,41.936%,38.312%,,,,
InlineSkate,36.000%,33.091%,,,,
Mirroring,35.000%,33.091%,,,,
Haar Wavelet,30.000%,31.091%,,,,
Daubechies Wavelet,36.000%,32.909%,,,,
ItalyPowerDemand,95.522%,95.724%,,,,
Mirroring,95.522%,95.530%,,,,
Haar Wavelet,85.075%,89.699%,,,,
Daubechies Wavelet,94.030%,90.185%,,,,
MALLAT,81.818%,82.175%,,,,
Mirroring,81.818%,82.175%,,,,
Haar Wavelet,78.182%,76.205%,,,,
Daubechies Wavelet,81.818%,82.090%,,,,
MedicalImages,65.617%,67.895%,,,,
Mirroring,65.354%,69.474%,,,,
Haar Wavelet,65.092%,63.158%,,,,
Daubechies Wavelet,64.829%,66.184%,,,,
MoteStrain,90.000%,85.783%,,,,
Mirroring,75.000%,84.585%,,,,
Haar Wavelet,60.000%,77.716%,,,,
Daubechies Wavelet,60.000%,81.949%,,,,
SonyAIB0Robot Surface,80.000%,85.783%,,,,
Mirroring,80.000%,66.889%,,,,
Haar Wavelet,85.000%,68.053%,,,,
Daubechies Wavelet,90.000%,64.726%,,,,
SonyAIB0Robot SurfaceII,88.889%,86.359%,,,,
Mirroring,88.889%,86.359%,,,,
Haar Wavelet,74.074%,74.711%,,,,
Daubechies Wavelet,88.889%,78.174%,,,,
StarLightCurves,86.000%,86.158%,,,,
Mirroring,86.000%,86.158%,,,,
Haar Wavelet,82.300%,80.476%,,,,
Daubechies Wavelet,86.100%,86.183%,,,,
Symbols,84.000%,90.352%,,,,
Mirroring,88.000%,91.256%,,,,
Haar Wavelet,88.000%,88.141%,,,,
Daubechies Wavelet,88.000%,91.055%,,,,
TwoLeadECG,69.565%,72.520%,,,,
Mirroring,69.565%,71.905%,,,,
Haar Wavelet,60.870%,75.593%,,,,
Daubechies Wavelet,60.870%,69.184%,,,,
uWaveGestureLibrary_X,71.317%,73.786%,,,,
Mirroring,71.429%,74.176%,,,,
Haar Wavelet,70.982%,74.344%,,,,
Daubechies Wavelet,71.763%,74.288%,,,,
uWaveGestureLibrary_Y,68.304%,66.248%,,,,
Mirroring,68.304%,66.304%,,,,
Haar Wavelet,67.522%,64.601%,,,,
Daubechies Wavelet,68.304%,66.639%,,,,
uWaveGestureLibrary_Z,67.188%,65.355%,,,,
Mirroring,65.513%,64.573%,,,,
Haar Wavelet,65.848%,64.182%,,,,
Daubechies Wavelet,65.179%,64.517%,,,,
WordsSynonyms,57.678%,62.226%,,,,
Mirroring,58.427%,60.972%,,,,
Haar Wavelet,58.052%,60.972%,,,,
Daubechies Wavelet,58.802%,61.756%,,,,
50words,63.333%,64.396%,,,,
Mirroring,63.556%,64.396%,,,,
Haar Wavelet,63.556%,62.857%,,,,
Daubechies Wavelet,64.667%,65.055%,,,,
Adiac,63.846%,59.335%,,,,
Mirroring,61.282%,60.870%,,,,
Haar Wavelet,62.051%,65.217%,,,,
Daubechies Wavelet,57.436%,57.289%,,,,
Beef,40.000%,60.000%,,,,
Mirroring,46.667%,60.000%,,,,
Haar Wavelet,60.000%,70.000%,,,,
Daubechies Wavelet,46.667%,60.000%,,,,
CBF,80.000%,85.000%,,,,
Mirroring,80.000%,85.000%,,,,
Haar Wavelet,90.000%,91.778%,,,,
Daubechies Wavelet,90.000%,94.889%,,,,
Coffee,71.429%,75.000%,,,,
Mirroring,71.429%,67.857%,,,,
Haar Wavelet,96.429%,89.286%,,,,
Daubechies Wavelet,71.429%,67.857%,,,,
ECG200,84.000%,89.000%,,,,
Mirroring,86.000%,91.000%,,,,
Haar Wavelet,87.000%,91.000%,,,,
Daubechies Wavelet,86.000%,87.000%,,,,
FaceAll,88.750%,68.639%,,,,
Mirroring,88.571%,68.402%,,,,
Haar Wavelet,93.214%,75.385%,,,,
Daubechies Wavelet,89.464%,70.947%,,,,
FaceFour,83.333%,87.500%,,,,
Mirroring,79.167%,87.500%,,,,
Haar Wavelet,75.000%,85.227%,,,,
Daubechies Wavelet,83.333%,87.500%,,,,
fish,79.429%,78.286%,,,,
Mirroring,78.286%,77.143%,,,,
Haar Wavelet,82.286%,81.714%,,,,
Daubechies Wavelet,78.286%,76.571%,,,,
Gun_Point,96.000%,92.000%,,,,
Mirroring,96.000%,92.000%,,,,
Haar Wavelet,96.000%,90.000%,,,,
Daubechies Wavelet,96.000%,89.333%,,,,
Lighting2,76.667%,80.328%,,,,
Mirroring,76.667%,81.967%,,,,
Haar Wavelet,65.000%,80.328%,,,,
Daubechies Wavelet,76.667%,78.689%,,,,
Lighting7,68.571%,63.014%,,,,
Mirroring,68.571%,64.384%,,,,
Haar Wavelet,61.429%,58.904%,,,,
Daubechies Wavelet,62.857%,67.123%,,,,
OliveOil,66.667%,76.667%,,,,
Mirroring,70.000%,76.667%,,,,
Haar Wavelet,80.000%,83.333%,,,,
Daubechies Wavelet,70.000%,80.000%,,,,
OSULeaf,58.500%,54.546%,,,,
Mirroring,61.000%,53.306%,,,,
Haar Wavelet,56.000%,52.066%,,,,
Daubechies Wavelet,60.000%,52.893%,,,,
SwedishLeaf,78.200%,76.680%,,,,
Mirroring,78.200%,79.680%,,,,
Haar Wavelet,82.200%,80.320%,,,,
Daubechies Wavelet,79.800%,80.160%,,,,
synthetic_control,89.333%,88.000%,,,,
Mirroring,89.000%,86.333%,,,,
Haar Wavelet,93.000%,95.000%,,,,
Daubechies Wavelet,96.333%,94.333%,,,,
Trace,91.000%,82.000%,,,,
Mirroring,90.000%,81.000%,,,,
Haar Wavelet,87.000%,76.000%,,,,
Daubechies Wavelet,91.000%,84.000%,,,,
Two_Patterns,89.700%,90.600%,,,,
Mirroring,89.700%,90.600%,,,,
Haar Wavelet,91.000%,92.675%,,,,
Daubechies Wavelet,92.400%,94.875%,,,,
wafer,99.800%,99.400%,,,,
Mirroring,99.800%,99.238%,,,,
Haar Wavelet,99.800%,99.627%,,,,
Daubechies Wavelet,99.700%,99.221%,,,,
yoga,78.667%,83.300%,,,,
Mirroring,79.333%,83.367%,,,,
Haar Wavelet,81.000%,82.333%,,,,
Daubechies Wavelet,79.333%,83.467%,,,,